"colegio","sexo","edad","residencia","tam.fam","estado.padres","edu.madre","edu.padre","trab.madre","trab.padre","motivo","apoderado","tpo.viaje","estudio","reprobaciones","apoyo.alumno","apoyo.familia","particular","actividades","preescolar","superior","internet","relacion","relacion.familiar","tiempo.libre","salidas","alcohol.s","alcohol.f","salud","inasistencias","final"
"MS","M",16,"urbana",">3","juntos","primaria","primaria","ninguno","servicios","distancia","madre","15-30","2-5",0,"no","si","no","si","si","si","no","si","excelente","bastante","mucho","bastante","mucho","buena",0,"R"
"MS","M",16,"rural",">3","juntos","basica","primaria","otro","servicios","reputacion","madre","15-30","2-5",0,"no","no","no","si","si","si","si","no","excelente","poco","muy_poco","nada","nada","mala",0,"R"
"MS","F",19,"rural",">3","separados","primaria","primaria","ninguno","ninguno","curriculo","otro","15-30","2-5",3,"no","si","no","si","si","no","no","si","buena","mucho","bastante","nada","bastante","muy_mala",0,"R"
"MS","M",19,"rural",">3","juntos","primaria","primaria","otro","servicios","otro","madre","15-30","<2",1,"no","no","no","no","si","si","no","no","muy_buena","suficiente","poco","nada","poco","excelente",0,"R"
"MS","M",18,"rural",">3","juntos","superior","basica","otro","otro","distancia","padre","15-30","<2",1,"no","no","si","no","si","si","no","no","excelente","bastante","suficiente","bastante","poco","buena",0,"R"
"GP","M",18,"rural",">3","juntos","basica","basica","servicios","otro","reputacion","madre","<15","<2",2,"no","si","no","si","si","si","si","no","buena","suficiente","suficiente","nada","muy_poco","muy_buena",0,"R"
"GP","F",15,"rural",">3","juntos","media","superior","servicios","docencia","curriculo","padre","15-30","5-10",2,"no","si","no","no","si","si","si","si","muy_buena","poco","poco","muy_poco","muy_poco","excelente",0,"A"
"GP","F",15,"urbana",">3","juntos","primaria","primaria","ninguno","otro","curriculo","madre","31-60","<2",0,"no","si","no","si","no","si","si","si","muy_buena","suficiente","suficiente","nada","muy_poco","muy_buena",0,"R"
"GP","M",15,"urbana",">3","juntos","superior","media","docencia","servicios","curriculo","padre","15-30",">10",0,"si","si","no","no","si","si","si","no","mala","poco","poco","nada","nada","buena",0,"R"
"GP","F",15,"urbana",">3","juntos","media","basica","salud","servicios","distancia","padre","<15","2-5",3,"no","si","no","no","si","si","si","no","buena","suficiente","poco","nada","nada","buena",0,"R"
"GP","F",17,"urbana",">3","juntos","primaria","primaria","ninguno","otro","reputacion","madre","<15","5-10",1,"no","si","no","si","si","si","no","si","muy_buena","suficiente","bastante","nada","nada","excelente",0,"R"
"GP","M",16,"urbana","<=3","juntos","superior","media","docencia","otro","curriculo","madre","<15","<2",0,"no","no","no","si","no","si","si","no","excelente","bastante","mucho","nada","nada","buena",0,"R"
"GP","F",17,"urbana","<=3","juntos","basica","basica","servicios","servicios","curriculo","padre","<15",">10",0,"no","no","si","si","si","si","si","si","buena","bastante","muy_poco","nada","nada","mala",0,"R"
"GP","F",18,"urbana",">3","juntos","media","media","servicios","servicios","distancia","madre","<15","2-5",0,"no","no","no","si","si","si","si","no","excelente","suficiente","bastante","nada","nada","muy_buena",0,"R"
"MS","F",19,"rural",">3","juntos","basica","media","servicios","otro","curriculo","madre","<15","5-10",1,"no","no","no","si","no","si","si","no","excelente","bastante","poco","nada","muy_poco","excelente",0,"R"
"MS","F",18,"urbana",">3","juntos","primaria","primaria","otro","otro","curriculo","madre","15-30","2-5",1,"no","no","no","si","si","si","no","no","muy_mala","muy_poco","muy_poco","nada","nada","excelente",0,"R"
"GP","F",17,"urbana",">3","juntos","superior","media","otro","otro","reputacion","madre","<15","2-5",2,"no","no","si","no","si","si","si","si","buena","bastante","mucho","muy_poco","bastante","muy_mala",22,"R"
"GP","M",17,"urbana",">3","juntos","media","basica","servicios","servicios","curriculo","madre","<15","<2",3,"no","si","no","si","si","si","si","no","excelente","mucho","mucho","muy_poco","bastante","excelente",16,"R"
"GP","F",15,"rural",">3","juntos","primaria","primaria","otro","otro","reputacion","madre","<15","2-5",2,"si","si","no","no","no","si","si","si","buena","suficiente","bastante","muy_poco","bastante","excelente",2,"R"
